Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Bachelor,Saudi,Female,2019 Q4,10412,SAR
Bachelor,Saudi,Male,2019 Q4,13052,SAR
Bachelor,NonSaudi,Female,2020 Q1,6470,SAR
Bachelor,NonSaudi,Male,2020 Q1,8653,SAR
Bachelor,Saudi,Female,2020 Q1,10167,SAR
Bachelor,Saudi,Male,2020 Q1,13101,SAR
Bachelor,NonSaudi,Female,2020 Q2,6197,SAR
Bachelor,NonSaudi,Male,2020 Q2,7721,SAR
Bachelor,Saudi,Female,2020 Q2,9826,SAR
Bachelor,Saudi,Male,2020 Q2,12526,SAR
Bachelor,NonSaudi,Female,2020 Q3,6790,SAR
Bachelor,NonSaudi,Male,2020 Q3,7592,SAR
Bachelor,Saudi,Female,2020 Q3,9809,SAR
Bachelor,Saudi,Male,2020 Q3,12475,SAR
Bachelor,NonSaudi,Female,2020 Q4,6495,SAR
Bachelor,NonSaudi,Male,2020 Q4,8302,SAR
Bachelor,Saudi,Female,2020 Q4,9829,SAR
Bachelor,Saudi,Male,2020 Q4,13257,SAR
Bachelor,NonSaudi,Female,2021 Q1,5809,SAR
Bachelor,NonSaudi,Male,2021 Q1,8933,SAR
Bachelor,Saudi,Female,2021 Q1,9262,SAR
Bachelor,Saudi,Male,2021 Q1,13744,SAR
Bachelor,NonSaudi,Female,2021 Q2,5847,SAR
Bachelor,NonSaudi,Male,2021 Q2,8727,SAR
Bachelor,Saudi,Female,2021 Q2,9239,SAR
Bachelor,Saudi,Male,2021 Q2,13373,SAR
Diploma,NonSaudi,Female,2017 Q1,4526,SAR
Diploma,NonSaudi,Male,2017 Q1,4374,SAR
Diploma,Saudi,Female,2017 Q1,9061,SAR
Diploma,Saudi,Male,2017 Q1,9898,SAR
Diploma,NonSaudi,Female,2017 Q2,4257,SAR
Diploma,NonSaudi,Male,2017 Q2,4344,SAR
Diploma,Saudi,Female,2017 Q2,8419,SAR
Diploma,Saudi,Male,2017 Q2,9895,SAR
Diploma,NonSaudi,Female,2017 Q3,4037,SAR
Diploma,NonSaudi,Male,2017 Q3,4517,SAR
Diploma,Saudi,Female,2017 Q3,8388,SAR
Diploma,Saudi,Male,2017 Q3,10081,SAR
Diploma,NonSaudi,Female,2017 Q4,3960,SAR
Diploma,NonSaudi,Male,2017 Q4,4543,SAR
Diploma,Saudi,Female,2017 Q4,8670,SAR
Diploma,Saudi,Male,2017 Q4,9691,SAR
Diploma,NonSaudi,Female,2018 Q1,4138,SAR
Diploma,NonSaudi,Male,2018 Q1,4319,SAR
Diploma,Saudi,Female,2018 Q1,9367,SAR
Diploma,Saudi,Male,2018 Q1,9907,SAR
Diploma,NonSaudi,Female,2018 Q2,4103,SAR
Diploma,NonSaudi,Male,2018 Q2,4455,SAR
Diploma,Saudi,Female,2018 Q2,8932,SAR
Diploma,Saudi,Male,2018 Q2,10059,SAR
Diploma,NonSaudi,Female,2018 Q3,4734,SAR
Diploma,NonSaudi,Male,2018 Q3,4574,SAR
Diploma,Saudi,Female,2018 Q3,9345,SAR
Diploma,Saudi,Male,2018 Q3,10814,SAR
Diploma,NonSaudi,Female,2018 Q4,4808,SAR
Diploma,NonSaudi,Male,2018 Q4,4532,SAR
Diploma,Saudi,Female,2018 Q4,9184,SAR
Diploma,Saudi,Male,2018 Q4,10203,SAR
Diploma,NonSaudi,Female,2019 Q1,5451,SAR
Diploma,NonSaudi,Male,2019 Q1,4769,SAR
Diploma,Saudi,Female,2019 Q1,9411,SAR
Diploma,Saudi,Male,2019 Q1,10154,SAR
Diploma,NonSaudi,Female,2019 Q2,5625,SAR
Diploma,NonSaudi,Male,2019 Q2,5263,SAR
Diploma,Saudi,Female,2019 Q2,9185,SAR
Diploma,Saudi,Male,2019 Q2,10400,SAR
Diploma,NonSaudi,Female,2019 Q3,5052,SAR
Diploma,NonSaudi,Male,2019 Q3,4915,SAR
Diploma,Saudi,Female,2019 Q3,9347,SAR
Diploma,Saudi,Male,2019 Q3,10366,SAR
Diploma,NonSaudi,Female,2019 Q4,4537,SAR
Diploma,NonSaudi,Male,2019 Q4,4822,SAR
Diploma,Saudi,Female,2019 Q4,9052,SAR
Diploma,Saudi,Male,2019 Q4,10137,SAR
Diploma,NonSaudi,Female,2020 Q1,5113,SAR
Diploma,NonSaudi,Male,2020 Q1,5249,SAR
Diploma,Saudi,Female,2020 Q1,9061,SAR
Diploma,Saudi,Male,2020 Q1,10098,SAR
Diploma,NonSaudi,Female,2020 Q2,4662,SAR
Diploma,NonSaudi,Male,2020 Q2,4084,SAR
Diploma,Saudi,Female,2020 Q2,9006,SAR
Diploma,Saudi,Male,2020 Q2,10021,SAR
Diploma,NonSaudi,Female,2020 Q3,4180,SAR
Diploma,NonSaudi,Male,2020 Q3,4553,SAR
Diploma,Saudi,Female,2020 Q3,8586,SAR
Diploma,Saudi,Male,2020 Q3,10042,SAR
Diploma,NonSaudi,Female,2020 Q4,4195,SAR
Diploma,NonSaudi,Male,2020 Q4,4321,SAR
Diploma,Saudi,Female,2020 Q4,8657,SAR
Diploma,Saudi,Male,2020 Q4,10285,SAR
Diploma,NonSaudi,Female,2021 Q1,2549,SAR
Diploma,NonSaudi,Male,2021 Q1,4604,SAR
